Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Tria Banyumanik Aplikasi Pita Besek,https://lh5.googleusercontent.com/p/AF1QipOa0HCMnrbGkiLDmELgreY3PjT1zwBVfE-EJ2u9=w122-h92-k-no,https://www.google.com/maps/place/Tria+Banyumanik+Aplikasi+Pita+Besek/data=!4m7!3m6!1s0x2e7089492eb07073:0x6ad01100638afe2c!8m2!3d-7.0725906!4d110.4176788!16s%2Fg%2F11c0pz9xrt!19sChIJc3CwLkmJcC4RLP6KYwAR0Go?authuser=0&hl=id&rclk=1,"4,4",(19),Toko Kerajinan Tangan,Jl. Gaharu Tim. Dalam VIII,
Arka Trophy Banyumanik,https://lh5.googleusercontent.com/p/AF1QipOSeOFClXZDqH7K7ntqQzEtj9vqGBQqwDm2Cvbk=w80-h142-k-no,https://www.google.com/maps/place/Arka+Trophy+Banyumanik/data=!4m7!3m6!1s0x2e7089529e932a7f:0xc192480ab0c5b6e5!8m2!3d-7.064168!4d110.416624!16s%2Fg%2F11tr_2q82n!19sChIJfyqTnlKJcC4R5bbFsApIksE?authuser=0&hl=id&rclk=1,"5,0",(2),Toko Suvenir,Jl. Bina Remaja, ⋅ Buka Sab pukul 07.00
d'Dressrosa by Venia,https://lh5.googleusercontent.com/p/AF1QipObI-R_8bykSpQEYs4BAz27ap-rb-IDbpFb-9-z=w92-h92-k-no,https://www.google.com/maps/place/d%27Dressrosa+by+Venia/data=!4m7!3m6!1s0x2e7089ee0dec8929:0xe3df4db4fd45628e!8m2!3d-7.0760538!4d110.419297!16s%2Fg%2F11shkmg8qz!19sChIJKYnsDe6JcC4RjmJF_bRN3-M?authuser=0&hl=id&rclk=1,,,Toko Suvenir,Jl. Duta Raya No.7, ⋅ Buka Sab pukul 09.00
Merajut Kasih (Undangan dan Souvenir),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MIx-yI35nzPfrFNMVgaT2g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=248.60611&pitch=0&thumbfov=100,https://www.google.com/maps/place/Merajut+Kasih+%28Undangan+dan+Souvenir%29/data=!4m7!3m6!1s0x2e7089c7274db7d1:0x3a5ef517d6ec6915!8m2!3d-7.0605105!4d110.4177633!16s%2Fg%2F11jdk3nddv!19sChIJ0bdNJ8eJcC4RFWns1hf1Xjo?authuser=0&hl=id&rclk=1,"5,0",(1),Toko Suvenir Pernikahan,Gg. Durian Dalam I No.21A,
PELANGI Card and Souvenir,https://lh5.googleusercontent.com/p/AF1QipNWLRFUi1MkdIv3ltPsUEB2PfCFimNDMLf5xZHg=w122-h92-k-no,https://www.google.com/maps/place/PELANGI+Card+and+Souvenir/data=!4m7!3m6!1s0x2e7089573f4c9cf9:0xe53a48df6ef4eb99!8m2!3d-7.0610794!4d110.4158776!16s%2Fg%2F11f0l46385!19sChIJ-ZxMP1eJcC4Rmev0bt9IOuU?authuser=0&hl=id&rclk=1,,,Toko Suvenir Pernikahan,"a, Jl. Durian Raya No.18", ⋅ Buka Sab pukul 08.00
