"URL","Title","Rating","Num_Rating","Category","Address","Closed_Time","Image"
"","","","","","","",""
"","","","","","","",""
"https://www.google.com/maps/place/Souvenir+Fi%27e+Craft/data=!4m7!3m6!1s0x2e708b51e52a1ef3:0xcea2c1f033d51407!8m2!3d-7.0596547!4d110.3487239!16s%2Fg%2F11gznngkhh!19sChIJ8x4q5VGLcC4RBxTVM_DBos4?authuser=0&hl=id&rclk=1","Souvenir Fi'e Craft","4,0","(1)","Toko","Jatirejo rt 01/rw01","⋅ Buka Sab pukul 08.00","https://lh5.googleusercontent.com/p/AF1QipPqwFuGgsgaZ0L9SWsegzWp1bRUhMt3h_LbZtUt=w102-h92-k-no"
"https://www.google.com/maps/place/Vinotty+Souvenir+%26+Goodiebag/data=!4m7!3m6!1s0x2e708b1d2b39b3c5:0x2ddc3daa40cfa1d!8m2!3d-7.0213578!4d110.393784!16s%2Fg%2F11gslvb1sh!19sChIJxbM5Kx2LcC4RHfoMpNrD3QI?authuser=0&hl=id&rclk=1","Vinotty Souvenir & Goodiebag","4,5","(4)","Toko Suvenir","Jl. Dewi Sartika Timur No.77","⋅ Buka Sab pukul 09.00","https://lh5.googleusercontent.com/p/AF1QipPL8hKZYM9zvcRAqYuqEmA8K5rnCdFgl-YZvLuI=w80-h106-k-no"
"https://www.google.com/maps/place/Orange+Souvenir+Corner/data=!4m7!3m6!1s0x2e708a26ad941b3f:0x97bd89b7d99ddc02!8m2!3d-7.054961!4d110.360928!16s%2Fg%2F1pzvwy2lg!19sChIJPxuUrSaKcC4RAtyd2beJvZc?authuser=0&hl=id&rclk=1","Orange Souvenir Corner","","","Toko Suvenir","JL. Raya Manyaran Gunung Pati, Km. 10, Ngrembel Asri","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Gk2rzOvfYLQYB2q_WusJ2A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=61.800316&pitch=0&thumbfov=100"
"https://www.google.com/maps/place/Cavement+craft/data=!4m7!3m6!1s0x2e70891a7eefe76d:0xac3df18526ff4204!8m2!3d-7.1014432!4d110.3598876!16s%2Fg%2F11s0wk9nxn!19sChIJbefvfhqJcC4RBEL_JoXxPaw?authuser=0&hl=id&rclk=1","Cavement craft","5,0","(2)","Toko Suvenir","","","https://lh5.googleusercontent.com/p/AF1QipOVL_eWcvF7luBZqJPU0RL9lC_XpahY37XvxzYO=w92-h92-k-no"
"https://www.google.com/maps/place/Ayutas+Collection/data=!4m7!3m6!1s0x2e7088e4ebbd3273:0xada9a3290b88274e!8m2!3d-7.105319!4d110.3922036!16s%2Fg%2F1tqq0k7x!19sChIJczK96-SIcC4RTieICymjqa0?authuser=0&hl=id&rclk=1","Ayutas Collection","4,3","(11)","Toko Suvenir","Karanggeneng RT 2/RW 2, Sumur Rejo, Gunung Pati","⋅ Buka Sab pukul 09.00","https://lh5.googleusercontent.com/p/AF1QipNjtcgBj7PSfyOAoWkYsBN8WC0DRXrjmfVL9uIN=w80-h106-k-no"
"https://www.google.com/maps/place/Souvenir+Murah+Semarang/data=!4m7!3m6!1s0x2e7a5959d23e6ec5:0x965c2e11960fcd49!8m2!3d-7.0462519!4d110.390395!16s%2Fg%2F11ng1w_vzg!19sChIJxW4-0llZei4RSc0PlhEuXJY?authuser=0&hl=id&rclk=1","Souvenir Murah Semarang","4,9","(54)","Toko Suvenir","Jl. Raya Banaran","⋅ Tutup Min pukul 00.00","https://lh5.googleusercontent.com/p/AF1QipObTgY6ac5kNUm_F-5R56ZHLvZIvtcnUyLCOnbQ=w80-h99-k-no"
