Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Farell's Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dHKvAyDFB7mJs74ynWUABQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=100.73319&pitch=0&thumbfov=100,https://www.google.com/maps/place/Farell%27s+Souvenir/data=!4m7!3m6!1s0x2e708b80968d130d:0x2da22ad39a198f3!8m2!3d-7.01949!4d110.425201!16s%2Fg%2F11dymvw7rb!19sChIJDRONloCLcC4R85ihOa0i2gI?authuser=0&hl=id&rclk=1,"5,0",(1),Toko Suvenir,Jl. Dr. Wahidin No.82, ⋅ Buka Sab pukul 11.00
"Abadi Souvenir Semarang (Souvenir Pernikahan, merchandise unik, supplier souvenir)",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BiXmnYJDDLVpFjPmL06qyQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=227.24666&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Abadi+Souvenir+Semarang+%28Souvenir+Pernikahan,+merchandise+unik,+supplier+souvenir%29/data=!4m7!3m6!1s0x2e708d15499d8e4f:0x9effd0389550adb7!8m2!3d-7.0298624!4d110.4279615!16s%2Fg%2F11rd9y3304!19sChIJT46dSRWNcC4Rt61QlTjQ_54?authuser=0&hl=id&rclk=1","5,0",(8),Toko Suvenir,Jl. Jangli krajan Bar. IV No.125,
kamandani gift and souvenir,https://lh5.googleusercontent.com/p/AF1QipOPrZ7LAz6dqqitEiVcA0hCCsCPWZORAX084nOs=w138-h92-k-no,https://www.google.com/maps/place/kamandani+gift+and+souvenir/data=!4m7!3m6!1s0x2e708b8a163feccf:0x8a1ac7cc3d8dd57!8m2!3d-7.0359601!4d110.4242891!16s%2Fg%2F11c2kczkcc!19sChIJz-w_FoqLcC4RV93Yw3ysoQg?authuser=0&hl=id&rclk=1,"4,8",(4),Toko Suvenir,Jl. Gombel Permai VIII No.129, ⋅ Buka Sab pukul 08.00
Kaka Targetama Mulia,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tgpp89I3Cy8QHszD8smJVg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=152.01006&pitch=0&thumbfov=100,https://www.google.com/maps/place/Kaka+Targetama+Mulia/data=!4m7!3m6!1s0x2e708c82f228039f:0xfe7a0cc10a6c4cd5!8m2!3d-7.0079037!4d110.427717!16s%2Fg%2F1pzs249kq!19sChIJnwMo8oKMcC4R1UxsCsEMev4?authuser=0&hl=id&rclk=1,"4,6",(5),Toko Suvenir,Jl. Tegalsari Bar. III No.92,
Tom Souvenir Semarang,https://lh5.googleusercontent.com/p/AF1QipN3labdAA4g6-tp15Mwj9BHKdUl_WXJYXHDjk0j=w80-h106-k-no,https://www.google.com/maps/place/Tom+Souvenir+Semarang/data=!4m7!3m6!1s0x2e708c9cda8f7e9d:0x5c8927e85cef749e!8m2!3d-7.0046776!4d110.4298934!16s%2Fg%2F11bc7p7_fj!19sChIJnX6P2pyMcC4RnnTvXOgniVw?authuser=0&hl=id&rclk=1,,,Toko Suvenir,Jl. Sriwijaya No.112, ⋅ Buka Sab pukul 09.00
