Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Wawa Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UinFmDwHAocB-yjS3gNZww&cb_client=search.gws-prod.gps&w=80&h=92&yaw=336.23633&pitch=0&thumbfov=100,https://www.google.com/maps/place/Wawa+Souvenir/data=!4m7!3m6!1s0x2e70f4a97b2c9e03:0x1b8d88109d5f1b75!8m2!3d-6.9697913!4d110.4224817!16s%2Fg%2F11dyrb2dz9!19sChIJA54se6n0cC4RdRtfnRCIjRs?authuser=0&hl=id&rclk=1,"4,7",3,Toko Suvenir,Jl. Imam Bonjol No.5,Buka pukul 09.00
Jual Souvenir Semarang - Progift,https://lh5.googleusercontent.com/p/AF1QipOdayen4nD7cfTzT4t1OlHQQCcWCl1p2BrLVYme=w92-h92-k-no,https://www.google.com/maps/place/Jual+Souvenir+Semarang+-+Progift/data=!4m7!3m6!1s0x2e708b6cf74cf005:0x4758f799490d8cd0!8m2!3d-6.9599944!4d110.4040678!16s%2Fg%2F11gzrwb7ys!19sChIJBfBM92yLcC4R0IwNSZn3WEc?authuser=0&hl=id&rclk=1,"5,0",95,Toko Suvenir,Jalan Selo Mas Timur IX no 437,Buka pukul 08.00
Dandelion Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ahI4sBcLsYRLbi4Bjy9lHg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=335.681&pitch=0&thumbfov=100,https://www.google.com/maps/place/Dandelion+Souvenir/data=!4m7!3m6!1s0x2e708b4aba31a08f:0xc3e24488b441fdb7!8m2!3d-6.9769886!4d110.4034351!16s%2Fg%2F1pzs1ztp3!19sChIJj6AxukqLcC4Rt_1BtIhE4sM?authuser=0&hl=id&rclk=1,"3,0",1,Toko Suvenir,Jl. Noroyono No.27,Buka pukul 08.30
PASAR SENTILING (Local Market & Toko Oleh-Oleh Kota Lama Semarang),https://lh5.googleusercontent.com/p/AF1QipMpWsSMLrikmAc7Ry6sBv5eThmczR7AuUrtM1cm=w80-h106-k-no,https://www.google.com/maps/place/PASAR+SENTILING+%28Local+Market+%26+Toko+Oleh-Oleh+Kota+Lama+Semarang%29/data=!4m7!3m6!1s0x2e70f5491751cbcd:0xd5a060411b455755!8m2!3d-6.9676411!4d110.425244!16s%2Fg%2F11q5845b0j!19sChIJzctRF0n1cC4RVVdFG0FgoNU?authuser=0&hl=id&rclk=1,"4,9",53,Toko Suvenir,Jl. Empu Tantular No.29,Buka pukul 09.00
Cha2 Souvenir,https://lh5.googleusercontent.com/p/AF1QipPgMT_WnPslzjrNB8NGWGW-iP3uMiDDpfkekcAK=w122-h92-k-no,https://www.google.com/maps/place/Cha2+Souvenir/data=!4m7!3m6!1s0x2e70f4b67b977779:0x1cebde59c69ed9d!8m2!3d-6.9710369!4d110.4052681!16s%2Fg%2F11f3wt4xcj!19sChIJeXeXe7b0cC4Rne1pnOW9zgE?authuser=0&hl=id&rclk=1,"5,0",5,Toko Perlengkapan Rumah,Jl. Pergiwati Raya No.9,Buka pukul 08.00
Raja Digital Semarang,https://lh5.googleusercontent.com/p/AF1QipN9WP6cQmayNh09ntSJ0NnX2leq3JbzFa_1sHbt=w80-h142-k-no,https://www.google.com/maps/place/Raja+Digital+Semarang/data=!4m7!3m6!1s0x2e70f4b083a92e21:0x4b5c9c2cd15e79b8!8m2!3d-6.9550309!4d110.4083009!16s%2Fg%2F11g814k0jf!19sChIJIS6pg7D0cC4RuHle0SycXEs?authuser=0&hl=id&rclk=1,"4,8",8,Toko Suvenir Pernikahan,Jl. Muara Mas XI No.404,Buka pukul 08.30
