Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
JS PUSAT HANTARAN SOUVENIR,https://lh5.googleusercontent.com/p/AF1QipMDqqsVOX85yAo8Y4KywmcUZOHiBmnf_uNV62ab=w122-h92-k-no,https://www.google.com/maps/place/JS+PUSAT+HANTARAN+SOUVENIR/data=!4m7!3m6!1s0x2e70f5b0cb3e747d:0x9b890325436155c3!8m2!3d-6.9719167!4d110.4239431!16s%2Fg%2F11s52xqx9t!19sChIJfXQ-y7D1cC4Rw1VhQyUDiZs?authuser=0&hl=id&rclk=1,,,Toko Suvenir,Jl. K.H. Agus Salim,Tutup pukul 04.00 ⋅ Buka kembali pukul 09.00
Wawa Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UinFmDwHAocB-yjS3gNZww&cb_client=search.gws-prod.gps&w=80&h=92&yaw=336.23633&pitch=0&thumbfov=100,https://www.google.com/maps/place/Wawa+Souvenir/data=!4m7!3m6!1s0x2e70f4a97b2c9e03:0x1b8d88109d5f1b75!8m2!3d-6.9697913!4d110.4224817!16s%2Fg%2F11dyrb2dz9!19sChIJA54se6n0cC4RdRtfnRCIjRs?authuser=0&hl=id&rclk=1,"4,7",3,Toko Suvenir,Jl. Imam Bonjol No.5,Buka pukul 09.00
"Lestari Souvenir, Cetak Undangan & Yasin",https://lh5.googleusercontent.com/p/AF1QipPEhSrro8wVRBPNCMrLTdYWuoceeJqAhqUZDnxv=w122-h92-k-no,"https://www.google.com/maps/place/Lestari+Souvenir,+Cetak+Undangan+%26+Yasin/data=!4m7!3m6!1s0x2e70f4b428285ee7:0x53a7b061d0fe7602!8m2!3d-6.973834!4d110.4239853!16s%2Fg%2F11ddxlfv9y!19sChIJ514oKLT0cC4RAnb-0GGwp1M?authuser=0&hl=id&rclk=1","5,0",4,Toko Suvenir Pernikahan,Jl. Alun-Alun Barat,Buka pukul 10.00
Zaza Sovenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D9hSzQQkRRHWisPlq2KuEQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=342.8009&pitch=0&thumbfov=100,https://www.google.com/maps/place/Zaza+Sovenir/data=!4m7!3m6!1s0x2e70f4aa1691177f:0x764eb9d986335177!8m2!3d-6.9712221!4d110.4250854!16s%2Fg%2F11dftpk39k!19sChIJfxeRFqr0cC4Rd1Ezhtm5TnY?authuser=0&hl=id&rclk=1,,,Toko Suvenir,"Scj Matahari, Jl. K.H. Agus Salim No.2",Tutup pukul 17.00 ⋅ Buka kembali pukul 20.00
Danis Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6tgHTsM_lM1-q-ORoiya1Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=270.32535&pitch=0&thumbfov=100,https://www.google.com/maps/place/Danis+Souvenir/data=!4m7!3m6!1s0x2e708b48d277cad9:0x9e1bb9fe42cb7746!8m2!3d-6.984266!4d110.40809!16s%2Fg%2F11g8lrkx8p!19sChIJ2cp30kiLcC4RRnfLQv65G54?authuser=0&hl=id&rclk=1,,,Toko Suvenir,"Pasar Bulu Baru Lantai 3 No 40, Jalan Mgr Soegiyopranoto",Buka pukul 09.00
Kreasikoe Souvenir & Promotion,https://lh5.googleusercontent.com/p/AF1QipMmuLpz_-WM1uVoUvEJx8X0EJNOyFb80WUbCMnD=w80-h142-k-no,https://www.google.com/maps/place/Kreasikoe+Souvenir+%26+Promotion/data=!4m7!3m6!1s0x2e708b4f304ebd93:0xc6bc3dc800e930f1!8m2!3d-6.983024!4d110.406496!16s%2Fg%2F1hc33_y3p!19sChIJk71OME-LcC4R8TDpAMg9vMY?authuser=0&hl=id&rclk=1,"4,7",7,Toko Suvenir,Jl. Mgr Sugiyopranoto No.21,Buka pukul 08.30
Multi Cipta,https://lh5.googleusercontent.com/p/AF1QipP39TTgAQqOg46CnGwHk4EMuXEYem3WrlHkQMIU=w153-h92-k-no,https://www.google.com/maps/place/Multi+Cipta/data=!4m7!3m6!1s0x2e708b54d2e4e09d:0x1bb95f609e3cb969!8m2!3d-6.9755099!4d110.4224151!16s%2Fg%2F11bz_1rb9_!19sChIJneDk0lSLcC4Rabk8nmBfuRs?authuser=0&hl=id&rclk=1,"4,5",51,Toko Suvenir,Jl. Kauman No.81,Buka pukul 08.30
Dandelion Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ahI4sBcLsYRLbi4Bjy9lHg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=335.681&pitch=0&thumbfov=100,https://www.google.com/maps/place/Dandelion+Souvenir/data=!4m7!3m6!1s0x2e708b4aba31a08f:0xc3e24488b441fdb7!8m2!3d-6.9769886!4d110.4034351!16s%2Fg%2F1pzs1ztp3!19sChIJj6AxukqLcC4Rt_1BtIhE4sM?authuser=0&hl=id&rclk=1,"3,0",1,Toko Suvenir,Jl. Noroyono No.27,Buka pukul 08.30
Civita Johar,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=USv2JsS8dK0d8tE91eUc0Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=87.66015&pitch=0&thumbfov=100,https://www.google.com/maps/place/Civita+Johar/data=!4m7!3m6!1s0x2e70f4abd84cb9f1:0xb54889d5b648829b!8m2!3d-6.9697831!4d110.4224659!16s%2Fg%2F11g81ffmgj!19sChIJ8blM2Kv0cC4Rm4JIttWJSLU?authuser=0&hl=id&rclk=1,"4,3",20,Toko Suvenir,Jl. Kolonel Sugiono No.6,Buka pukul 09.00
Diamond Souvenir,https://lh5.googleusercontent.com/p/AF1QipMyfKPuCweuWV6H43AXSbOAhB4Rkfza8SNPsWHN=w80-h142-k-no,https://www.google.com/maps/place/Diamond+Souvenir/data=!4m7!3m6!1s0x2e708caa3f0b6a89:0x907155ef6e952572!8m2!3d-6.9790401!4d110.4277443!16s%2Fg%2F11c5btdfz6!19sChIJiWoLP6qMcC4RciWVbu9VcZA?authuser=0&hl=id&rclk=1,"4,5",15,Toko Suvenir Pernikahan,Jl. Jagalan No.16 E,Buka pukul 09.00
