Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Widodari Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ce1T2zE48lSvRCL_16DUgw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=45.632496&pitch=0&thumbfov=100,https://www.google.com/maps/place/Widodari+Souvenir/data=!4m7!3m6!1s0x2e708ccd48d18333:0xce5bd7d1c6f2770e!8m2!3d-6.9741548!4d110.4608157!16s%2Fg%2F1pzq5r8bj!19sChIJM4PRSM2McC4RDnfyxtHXW84?authuser=0&hl=id&rclk=1,"3,5",2,Toko Suvenir,Jl. Sidoasih Raya Perumnas Tlogosari No.15,Buka Sab pukul 09.00
Toko celengan kakbah,https://lh5.googleusercontent.com/p/AF1QipNhS2UNvD3qlxMIEFJzP8XGjzZJaKoTRkkdYnWG=w122-h92-k-no,https://www.google.com/maps/place/Toko+celengan+kakbah/data=!4m7!3m6!1s0x2e708d05ac5eaacb:0x6f2c9fb11e25dec2!8m2!3d-6.996845!4d110.487011!16s%2Fg%2F11kbmx_z4m!19sChIJy6perAWNcC4Rwt4lHrGfLG8?authuser=0&hl=id&rclk=1,,,Toko Suvenir,"Jl. Kudan Dalam No.I, RT.4 rw4",Buka Sab pukul 09.00
"Mj kos,mj souvenir",https://lh5.googleusercontent.com/p/AF1QipN2hC1QAQw-cL_yp--YVIPjL2jxqkc9CCfPLHpL=w80-h106-k-no,"https://www.google.com/maps/place/Mj+kos,mj+souvenir/data=!4m7!3m6!1s0x2e708da3a9a876d9:0xbc9815b07a6121ed!8m2!3d-7.0014918!4d110.469801!16s%2Fg%2F11h2qnv2fr!19sChIJ2XaoqaONcC4R7SFherAVmLw?authuser=0&hl=id&rclk=1","5,0",3,Toko Suvenir,"XFX9+CW3, Jl. Merpati Timur",Buka Sab pukul 08.00
Civita Souvenir Tlogosari,https://lh5.googleusercontent.com/p/AF1QipO1NLP90qdo8ESZNB2TM5TsNTcj0YSLh817s5HD=w80-h142-k-no,https://www.google.com/maps/place/Civita+Souvenir+Tlogosari/data=!4m7!3m6!1s0x2e708cd0f7768103:0xa950c04fb9eac379!8m2!3d-6.9817032!4d110.4653865!16s%2Fg%2F11g87kpy4v!19sChIJA4F299CMcC4RecPquU_AUKk?authuser=0&hl=id&rclk=1,"4,2",29,Toko Suvenir,Jl. Kawung No.54,Buka Sab pukul 09.00
Semarang Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K92aOn5DQ92KZm9wJdsb-g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=260.22534&pitch=0&thumbfov=100,https://www.google.com/maps/place/Semarang+Souvenir/data=!4m7!3m6!1s0x2e708dbaf0ce59bb:0x778551632c8ced40!8m2!3d-7.0254155!4d110.4878692!16s%2Fg%2F1pzqzcjqx!19sChIJu1nO8LqNcC4RQO2MLGNRhXc?authuser=0&hl=id&rclk=1,,,Toko Perkakas,"XFFQ+R4Q, JL. Pucang Gading",
Gaff Souvenir,https://lh5.googleusercontent.com/p/AF1QipOhc90F-uB_yWN57VfloaApU-WcKrBQYk0QzVVm=w163-h92-k-no,https://www.google.com/maps/place/Gaff+Souvenir/data=!4m7!3m6!1s0x2e708da6d1047fe7:0x6ddcae144f0bdec4!8m2!3d-7.0159594!4d110.4911116!16s%2Fg%2F11dd_vyyt1!19sChIJ538E0aaNcC4RxN4LTxSu3G0?authuser=0&hl=id&rclk=1,"3,0",4,Toko Suvenir,Jl. Kyai Morang Raya No.30,Buka Sab pukul 09.00
